datum,M01AB,M01AE,N02BA,N02BE,N05B,N05C,R03,R06
3/24/2019,35.99,20.661,13.95,196.6,68.4,2,74,48
3/31/2019,31.17,43.774,20,172.9,69,4,53,49.5
4/7/2019,36.19,25.685,26.5,173.35,62,1,51,57.6
4/14/2019,30.33,28.165,14.5,125.5,72.4,4,42,40.5
4/21/2019,29.84,24.027,14.55,117.9,80,9,36,33.2
4/28/2019,57.7,14.514,21.95,181.3,67,6,62,36.4
5/5/2019,31.36,27.413,28.55,157.6,52,7,64,45.4
5/12/2019,36.35,19.968,22.2,149.1,79,8,123,24
5/19/2019,40,18.023,23.65,160,68,5,61.29166667,23.4
5/26/2019,42.17,28.925,24.35,194.4,49.8,5,65,34
6/2/2019,32.49,14.703,25,141.462,40,4,27,28
6/9/2019,37.67,16.537,28.8,157.6,52,7,45,28.1
6/16/2019,37.2,23.259,24.75,123.6,46,1,23,57
6/23/2019,35.66,27.388,20.5,148.5,49,10,32,35.94
6/30/2019,34.01,30.443,20.1,130.9,41,6,28,27
7/7/2019,34.65,20.777,19,132.05,47,1,17,28.8
7/14/2019,44,31.319,28.05,149.6,53.6,8,15,21
7/21/2019,47.33,18.649,17.45,149.2,55,2,15,28
7/28/2019,36.52,19.439,19.3,124.375,70,5,30,18.4
8/4/2019,44.01,23.3,21.3,156.45,54,11,48,19.7
8/11/2019,40.99,19.219,21.3,86.25,57,8,66,20
8/18/2019,45.18,19.109,13.55,125,53,2,35,23
8/25/2019,41.87,27.516,17.05,115.45,61,6,24,20.5
9/1/2019,30.36,16.842,25,117.4,45.2,4,15,27.1
9/8/2019,40.71,26.767,15.75,154.755,51,6,15,28.5
9/15/2019,35.51,30.977,19.65,178.375,67.2,5,30,30.5
9/22/2019,46.84,25.396,24.4,248.25,31.2,3,26,21
9/29/2019,34.01,22.498,26.6,336.7,61.2,1,40.41666667,23.1
10/6/2019,38.7,32.502,19.25,249.45,69,5,30,12.13
10/13/2019,7.67,6.237,3.5,95.1,26,2,12,1
